Sample	x	y	Z
1	1	1	1
2	1	2	1
3	1	3	1
4	1	4	1
5	1	5	1
6	1	6	1
7	1	7	1
8	1	8	1
9	2	1	1
10	2	2	1
11	2	3	1
12	2	4	1
13	2	5	1
14	2	6	1
15	2	7	1
16	2	8	1
17	3	1	1
18	3	2	1
19	3	3	1
20	3	4	1
21	3	5	1
22	3	6	1
23	3	7	1
24	3	8	1
25	4	1	1
26	4	2	1
27	4	3	1
28	4	4	1
29	4	5	1
30	4	6	1
31	4	7	1
32	4	8	1
33	5	1	1
34	5	2	1
35	5	3	1
36	5	4	1
37	5	5	1
38	5	6	1
39	5	7	1
40	5	8	1
41	6	1	1
42	6	2	1
43	6	3	1
44	6	4	1
45	6	5	1
46	6	6	1
47	6	7	1
48	6	8	1
49	7	1	1
50	7	2	1
51	7	3	1
52	7	4	1
53	7	5	1
54	7	6	1
55	7	7	1
56	7	8	1
57	8	1	1
58	8	2	1
59	8	3	1
60	8	4	1
61	8	5	1
62	8	6	1
63	8	7	1
64	8	8	1
65	9	1	1
66	9	2	1
67	9	3	1
68	9	4	1
69	9	5	1
70	9	6	1
71	9	7	1
72	9	8	1
73	10	1	1
74	10	2	1
75	10	3	1
76	10	4	1
77	10	5	1
78	10	6	1
79	10	7	1
80	10	8	1
81	11	1	1
82	11	2	1
83	11	3	1
84	11	4	1
85	11	5	1
86	11	6	1
87	11	7	1
88	11	8	1
89	12	1	1
90	12	2	1
91	12	3	1
92	12	4	1
93	12	5	1
94	12	6	1
95	12	7	1
96	12	8	1
