Sample	Metric	Value
1	% Variant Strain A	63.51089962
2	% Variant Strain A	57.0249777
3	% Variant Strain A	47.42204988
4	% Variant Strain A	36.78601188
5	% Variant Strain A	67.99245465
6	% Variant Strain A	49.24310172
7	% Variant Strain A	42.74345303
8	% Variant Strain A	43.88805527
9	% Variant Strain A	39.4319765
10	% Variant Strain A	50.03117881
11	% Variant Strain A	52.7048157
12	% Variant Strain A	58.43070731
13	% Variant Strain A	63.52995653
14	% Variant Strain A	38.4283764
15	% Variant Strain A	48.00659633
16	% Variant Strain A	42.90963527
17	% Variant Strain A	47.39895336
18	% Variant Strain A	64.21173333
19	% Variant Strain A	66.34231474
20	% Variant Strain A	59.85233818
21	% Variant Strain A	62.65444602
22	% Variant Strain A	52.95298165
23	% Variant Strain A	43.35949067
24	% Variant Strain A	45.09999257
25	% Variant Strain A	55.73292615
26	% Variant Strain A	54.07933047
27	% Variant Strain A	47.26245478
28	% Variant Strain A	50.12382368
29	% Variant Strain A	42.80412831
30	% Variant Strain A	53.15291529
31	% Variant Strain A	40.5310433
32	% Variant Strain A	45.59469682
33	% Variant Strain A	36.63597521
34	% Variant Strain A	37.01598167
35	% Variant Strain A	47.85150938
36	% Variant Strain A	49.2175958
37	% Variant Strain A	56.48774577
38	% Variant Strain A	62.03186064
39	% Variant Strain A	65.99310681
40	% Variant Strain A	37.72392723
41	% Variant Strain A	50.28479018
42	% Variant Strain A	46.31054112
43	% Variant Strain A	51.79562191
44	% Variant Strain A	60.31239674
45	% Variant Strain A	50.95690462
46	% Variant Strain A	63.08138017
47	% Variant Strain A	57.36393212
48	% Variant Strain A	59.48934432
49	% Variant Strain A	76.38856089
50	% Variant Strain A	84.53065859
51	% Variant Strain A	75.26203914
52	% Variant Strain A	77.61208598
53	% Variant Strain A	74.46443601
54	% Variant Strain A	75.62209283
55	% Variant Strain A	73.84465512
56	% Variant Strain A	82.04910643
57	% Variant Strain A	68.94713554
58	% Variant Strain A	71.78868417
59	% Variant Strain A	70.6892581
60	% Variant Strain A	69.56686132
61	% Variant Strain A	67.62527623
62	% Variant Strain A	84.08479922
63	% Variant Strain A	51.82921477
64	% Variant Strain A	57.17373171
65	% Variant Strain A	52.86428041
66	% Variant Strain A	78.37526924
67	% Variant Strain A	97.90033123
68	% Variant Strain A	97.76285499
69	% Variant Strain A	3.633558482
70	% Variant Strain A	3.833900319
71	% Variant Strain A	97.81186669
72	% Variant Strain A	97.81481522
73	% Variant Strain A	3.536783
74	% Variant Strain A	3.215423034
75	% Variant Strain A	54.42571982
76	% Variant Strain A	54.88781148
77	% Variant Strain A	55.06181401
78	% Variant Strain A	55.41940374
79	% Variant Strain A	97.76494359
80	% Variant Strain A	97.54774488
81	% Variant Strain A	3.297220914
82	% Variant Strain A	3.490955574
83	% Variant Strain A	97.98773851
84	% Variant Strain A	97.86450209
85	% Variant Strain A	3.828141886
86	% Variant Strain A	3.610776435
87	% Variant Strain A	53.64396804
88	% Variant Strain A	53.99512487
89	% Variant Strain A	46.66666667
90	% Variant Strain A	53.10318295
91	% Variant Strain A	97.2443209
92	% Variant Strain A	98.01162278
93	% Variant Strain A	5.573532838
94	% Variant Strain A	3.536040679
95	% Variant Strain A	55.04166104
96	% Variant Strain A	55.14349983
1	% Variant Strain B	36.32177906
2	% Variant Strain B	42.80298203
3	% Variant Strain B	52.40792162
4	% Variant Strain B	63.02179932
5	% Variant Strain B	31.82693851
6	% Variant Strain B	50.57265685
7	% Variant Strain B	57.08013172
8	% Variant Strain B	55.93746729
9	% Variant Strain B	60.37077396
10	% Variant Strain B	49.78938393
11	% Variant Strain B	47.11215622
12	% Variant Strain B	41.38701282
13	% Variant Strain B	36.27967998
14	% Variant Strain B	61.40516849
15	% Variant Strain B	51.82238781
